transaction_id,date,ministry,vendor_id,vendor_name,category,amount,payment_terms_days,procurement_method,contract_description,_planted_pattern
T-00036,2024-04-15,Ministry of Public Works,V-075,Citadel Contracting,Construction,16800,30,Limited tender,office renovation — Q4 — west wing,
T-00037,2025-12-24,Ministry of Education,V-068,Xenon Strategy,Consulting,9400,30,Simplified,compliance audit — Q2 — south wing,
T-00038,2025-02-28,Ministry of Education,V-140,Lumen Contracting,Construction,86800,30,Open tender,office renovation — Q1 — north wing,
T-00039,2024-12-18,Ministry of Transport,V-043,Fortis Consulting,Consulting,6400,60,Simplified,compliance audit — Q2 — south wing,
T-00040,2024-12-24,Ministry of Justice,V-120,Junction Freight,Transport,72900,60,Open tender,delivery contract — framework lot A,
T-00041,2025-11-28,Ministry of Transport,V-113,Northbound Group,Consulting,21800,30,Limited tender,transformation programme — phase 1,
T-00042,2024-08-30,Ministry of Justice,V-007,Glacier Solutions,IT services,16500,60,Simplified,support contract — Q1 — north wing,
T-00043,2024-01-08,Ministry of Education,V-196,Vertex Group,Consulting,38000,14,Limited tender,compliance audit — framework lot B,
T-00044,2025-11-17,Ministry of Public Works,V-167,Summit Stationery,Office supplies,6400,90,Simplified,printer cartridges — Q2 — south wing,
T-00045,2025-07-15,Ministry of Education,V-121,Granite Transport,Transport,9900,30,Simplified,vehicle leasing — annual contract,
T-00046,2024-04-13,Ministry of Justice,V-178,Yara Digital,IT services,12400,30,Open tender,cloud migration — framework lot A,
T-00047,2024-08-19,Ministry of Public Works,V-023,Orion Construction,Construction,23400,90,Limited tender,facade works — Q1 — north wing,
T-00048,2024-07-06,Ministry of Justice,V-169,Unity Movers,Transport,13000,14,Limited tender,vehicle leasing — framework lot A,
T-00049,2024-03-25,Ministry of Education,V-161,Helios Office Group,Office supplies,7500,30,Simplified,stationery resupply — framework lot A,
T-00050,2024-10-26,Ministry of Education,V-179,Pioneer Advisory,Consulting,21000,30,Limited tender,process review — phase 1,
T-00051,2024-09-30,Ministry of Health,V-142,Granite Digital,IT services,91900,30,Open tender,network upgrade — Q2 — south wing,
T-00052,2025-11-23,Ministry of Justice,V-166,Junction Medical,Medical equipment,12100,45,Limited tender,ICU monitors — annual contract,
T-00053,2024-06-25,Ministry of Education,V-124,Nexus MedTech,Construction,231300,30,Open tender,facade works — framework lot B,
T-00054,2024-09-25,Ministry of Public Works,V-192,Vertex Office Group,Office supplies,5100,30,Limited tender,stationery resupply — framework lot B,
T-00055,2025-03-14,Ministry of Justice,V-069,Cascade Medical,Medical equipment,128600,30,Open tender,imaging consumables — framework lot A,
T-00056,2024-08-22,Ministry of Justice,V-039,Junction Cargo,Transport,24700,30,Limited tender,logistics services — framework lot A,
T-00057,2025-12-11,Ministry of Public Works,V-083,Delta Consulting,Consulting,16100,30,Simplified,process review — annual contract,
T-00058,2024-04-06,Ministry of Public Works,V-012,Bluefin Freight,Transport,45500,60,Limited tender,logistics services — Q3 — east wing,
T-00059,2025-11-09,Ministry of Health,V-127,Citadel Supplies,IT services,25900,30,Limited tender,network upgrade — Q2 — south wing,
T-00060,2024-03-02,Ministry of Digital Affairs,V-135,Nexus Stationery,Office supplies,5300,30,Simplified,ergonomic chairs batch — Q2 — south wing,
T-00061,2025-06-24,Ministry of Public Works,V-121,Granite Transport,Transport,10000,30,Limited tender,fleet maintenance — phase 2,
T-00062,2025-04-29,Ministry of Digital Affairs,V-173,Pioneer Contracting,Construction,120900,30,Open tender,roof refurbishment — framework lot B,
T-00063,2024-12-30,Ministry of Transport,V-010,Cascade Solutions,IT services,15400,30,Limited tender,ERP rollout — Q2 — south wing,
T-00064,2024-01-19,Ministry of Health,V-112,Evergreen Supplies,IT services,31000,30,Limited tender,cloud migration — phase 2,
T-00065,2025-11-13,Ministry of Justice,V-015,Granite Partners,Consulting,19200,30,Limited tender,compliance audit — Q3 — east wing,
T-00066,2025-09-11,Ministry of Digital Affairs,V-044,Juno Builders,Construction,28800,30,Open tender,site preparation — framework lot A,
T-00067,2024-12-04,Ministry of Transport,V-150,Helios Contracting,Construction,25400,30,Limited tender,office renovation — framework lot A,
T-00068,2025-07-04,Ministry of Transport,V-074,Delta Transport,Transport,6300,30,Simplified,delivery contract — phase 1,
T-00069,2024-07-19,Ministry of Public Works,V-164,Apex Diagnostics,Office supplies,6200,30,Simplified,printer cartridges — Q2 — south wing,
T-00070,2025-09-06,Ministry of Digital Affairs,V-061,Fortis Medical,Medical equipment,11400,30,Limited tender,ICU monitors — Q1 — north wing,
T-00071,2024-04-16,Ministry of Digital Affairs,V-169,Unity Movers,Transport,5800,60,Simplified,fleet maintenance — framework lot A,
T-00072,2025-10-31,Ministry of Education,V-074,Delta Transport,Transport,12100,60,Limited tender,fuel supply — phase 1,
T-00073,2025-11-04,Ministry of Education,V-174,Meridian Systems,IT services,19900,30,Open tender,cloud migration — Q1 — north wing,
T-00074,2025-01-29,Ministry of Education,V-080,Apex Advisory,Consulting,6900,30,Simplified,strategy advisory — phase 1,
T-00075,2024-01-16,Ministry of Justice,V-084,Zenith Contracting,Construction,60400,30,Open tender,structural repairs — framework lot B,
T-00076,2025-01-12,Ministry of Public Works,V-129,Bluefin Solutions,IT services,39200,30,Open tender,endpoint refresh — phase 2,
T-00077,2025-05-12,Ministry of Education,V-030,Yara Partners,Consulting,23100,45,Limited tender,compliance audit — framework lot B,
T-00078,2025-08-02,Ministry of Health,V-094,Acme Strategy,Consulting,18000,30,Limited tender,compliance audit — phase 2,
T-00079,2025-09-14,Ministry of Digital Affairs,V-173,Pioneer Contracting,Construction,44900,30,Limited tender,structural repairs — Q2 — south wing,
T-00080,2025-11-24,Ministry of Justice,V-173,Pioneer Contracting,Construction,202000,60,Open tender,structural repairs — Q4 — west wing,
T-00081,2024-02-07,Ministry of Transport,V-166,Junction Medical,Medical equipment,13300,60,Open tender,surgical instruments — Q2 — south wing,
T-00082,2025-06-24,Ministry of Health,V-036,Forge Digital,IT services,56500,90,Open tender,cloud migration — Q4 — west wing,
T-00083,2025-09-01,Ministry of Digital Affairs,V-138,Juno Transport,Transport,16700,30,Limited tender,delivery contract — annual contract,
T-00084,2024-12-04,Ministry of Health,V-151,Legacy Software,IT services,31000,30,Limited tender,network upgrade — annual contract,
T-00085,2024-11-12,Ministry of Education,V-072,Orion Care,Medical equipment,26000,30,Limited tender,ICU monitors — Q2 — south wing,
T-00086,2024-12-15,Ministry of Health,V-176,Northbound Consulting,Consulting,60400,30,Limited tender,compliance audit — phase 1,
T-00087,2025-06-22,Ministry of Digital Affairs,V-049,Helios Cargo,Office supplies,12100,30,Limited tender,desk and shelving — Q1 — north wing,
T-00088,2025-05-05,Ministry of Justice,V-013,Juno Stationery,Office supplies,5200,30,Simplified,ergonomic chairs batch — Q2 — south wing,
T-00089,2025-10-31,Ministry of Education,V-196,Vertex Group,Consulting,41100,60,Limited tender,risk assessment — Q3 — east wing,
T-00090,2024-12-23,Ministry of Education,V-153,Westwind Partners,Consulting,61100,30,Limited tender,transformation programme — phase 1,
T-00091,2024-07-29,Ministry of Transport,V-045,Bluefin Cargo,Transport,11600,30,Open tender,fuel supply — phase 2,
T-00092,2025-01-02,Ministry of Justice,V-005,Bluefin Medical,Medical equipment,73400,45,Open tender,MRI maintenance — Q2 — south wing,
T-00093,2025-09-21,Ministry of Public Works,V-122,Helios Supplies,Office supplies,15100,30,Limited tender,desk and shelving — Q4 — west wing,
T-00094,2024-03-02,Ministry of Justice,V-158,Ivory Health Systems,Medical equipment,186900,60,Limited tender,ICU monitors — framework lot A,
T-00095,2025-12-29,Ministry of Public Works,V-165,Lumen Cargo,Construction,17100,60,Simplified,office renovation — framework lot A,
T-00096,2024-03-10,Ministry of Justice,V-183,Helios Engineering,Construction,50500,14,Open tender,site preparation — Q2 — south wing,
T-00097,2024-01-06,Ministry of Transport,V-033,Citadel Software,IT services,67800,30,Open tender,network upgrade — framework lot B,
T-00098,2025-11-03,Ministry of Digital Affairs,V-076,Glacier Builders,Construction,64500,14,Open tender,office renovation — framework lot B,
T-00099,2025-09-09,Ministry of Public Works,V-185,Mosaic MedTech,Medical equipment,5700,60,Simplified,ICU monitors — framework lot A,
T-00100,2024-03-28,Ministry of Digital Affairs,V-103,Pioneer Movers,Transport,48100,30,Limited tender,vehicle leasing — phase 2,
T-00101,2025-07-20,Ministry of Health,V-040,Legacy Trading,Office supplies,12000,14,Limited tender,paper and toner order — annual contract,
T-00102,2025-08-20,Ministry of Health,V-025,Xenon Transport,Transport,17800,30,Limited tender,delivery contract — framework lot B,
T-00103,2025-07-11,Ministry of Digital Affairs,V-144,Drift Software,IT services,13500,30,Limited tender,network upgrade — Q1 — north wing,
T-00104,2024-04-18,Ministry of Education,V-074,Delta Transport,Transport,13100,30,Limited tender,fuel supply — framework lot A,
T-00105,2024-04-03,Ministry of Health,V-058,Forge Supplies,Office supplies,6100,30,Simplified,stationery resupply — Q4 — west wing,
T-00106,2025-06-17,Ministry of Justice,V-110,Zenith Stationery,Office supplies,7600,60,Open tender,desk and shelving — Q1 — north wing,
T-00107,2025-12-22,Ministry of Transport,V-156,Quanta Tech,Office supplies,6700,30,Simplified,stationery resupply — phase 2,
T-00108,2025-09-13,Ministry of Health,V-002,Rivera Transport,Transport,23000,30,Limited tender,fuel supply — Q1 — north wing,
T-00109,2024-01-24,Ministry of Transport,V-024,Rivera Strategy,Consulting,55400,30,Open tender,process review — phase 2,
T-00110,2024-11-11,Ministry of Health,V-080,Apex Advisory,Consulting,45100,30,Open tender,strategy advisory — Q3 — east wing,
T-00111,2024-08-03,Ministry of Public Works,V-041,Zenith MedTech,Medical equipment,17800,14,Limited tender,surgical instruments — framework lot A,
T-00112,2025-06-23,Ministry of Health,V-156,Quanta Tech,IT services,40900,45,Limited tender,endpoint refresh — annual contract,
T-00113,2025-07-25,Ministry of Digital Affairs,V-029,Pioneer Transport,Transport,15400,30,Open tender,vehicle leasing — Q1 — north wing,
T-00114,2024-04-09,Ministry of Transport,V-057,Acme Care,Medical equipment,54900,14,Open tender,diagnostic kits — Q3 — east wing,
T-00115,2025-04-20,Ministry of Digital Affairs,V-196,Vertex Group,Consulting,21200,14,Limited tender,compliance audit — Q3 — east wing,
T-00116,2024-04-14,Ministry of Digital Affairs,V-034,Rivera Consulting,Consulting,11000,30,Open tender,risk assessment — Q2 — south wing,
T-00117,2024-07-30,Ministry of Health,V-102,Mosaic Construction,Construction,34400,14,Limited tender,structural repairs — annual contract,
T-00118,2025-04-24,Ministry of Public Works,V-147,Rivera Supplies,Office supplies,6100,30,Simplified,paper and toner order — phase 2,
T-00119,2025-12-17,Ministry of Transport,V-044,Juno Builders,Construction,8200,60,Simplified,office renovation — annual contract,
T-00120,2025-08-22,Ministry of Public Works,V-028,Keystone Care,Medical equipment,19700,30,Limited tender,ICU monitors — phase 2,
T-00121,2025-09-04,Ministry of Health,V-057,Acme Care,Medical equipment,18200,30,Limited tender,imaging consumables — framework lot B,
T-00122,2025-06-28,Ministry of Digital Affairs,V-050,Vertex Supplies,Office supplies,6200,45,Simplified,ergonomic chairs batch — Q4 — west wing,
T-00123,2025-08-17,Ministry of Digital Affairs,V-027,Rivera Logistics,Transport,9200,30,Simplified,fleet maintenance — Q3 — east wing,
T-00124,2025-06-21,Ministry of Justice,V-198,Apex Digital,IT services,20200,30,Limited tender,network upgrade — phase 2,
T-00125,2025-07-01,Ministry of Digital Affairs,V-161,Helios Office Group,Office supplies,22100,30,Limited tender,stationery resupply — phase 1,
T-00126,2025-03-23,Ministry of Public Works,V-152,Granite Works,Construction,19200,30,Limited tender,office renovation — Q1 — north wing,
T-00127,2024-12-01,Ministry of Health,V-095,Drift Office Group,Office supplies,6100,60,Simplified,desk and shelving — framework lot B,
T-00128,2025-06-02,Ministry of Health,V-099,Delta Cargo,Transport,9100,45,Simplified,logistics services — Q4 — west wing,
T-00129,2025-09-29,Ministry of Public Works,V-083,Delta Consulting,Consulting,8500,90,Simplified,strategy advisory — phase 2,
T-00130,2025-02-22,Ministry of Digital Affairs,V-183,Helios Engineering,Construction,160900,14,Open tender,roof refurbishment — framework lot A,
T-00131,2025-04-19,Ministry of Transport,V-135,Nexus Stationery,Office supplies,14000,30,Limited tender,printer cartridges — annual contract,
T-00132,2025-05-20,Ministry of Digital Affairs,V-199,BetaTech Care,Medical equipment,32300,45,Limited tender,ICU monitors — Q2 — south wing,
T-00133,2024-10-22,Ministry of Digital Affairs,V-085,Pioneer Builders,Construction,317800,30,Open tender,facade works — Q3 — east wing,
T-00134,2024-03-09,Ministry of Transport,V-086,Ivory Digital,IT services,30600,60,Open tender,network upgrade — Q3 — east wing,
T-00135,2025-12-11,Ministry of Digital Affairs,V-153,Westwind Partners,Consulting,22800,30,Limited tender,risk assessment — Q3 — east wing,
T-00136,2025-03-15,Ministry of Justice,V-172,Northbound MedTech,Medical equipment,8700,90,Limited tender,MRI maintenance — annual contract,
T-00137,2024-08-19,Ministry of Education,V-131,Juno Cargo,Transport,11700,30,Limited tender,vehicle leasing — framework lot A,
T-00138,2024-03-10,Ministry of Health,V-050,Vertex Supplies,Office supplies,14400,14,Limited tender,desk and shelving — framework lot B,
T-00139,2025-03-05,Ministry of Justice,V-190,Cascade Consulting,Consulting,13600,30,Limited tender,process review — annual contract,
T-00140,2025-04-21,Ministry of Education,V-040,Legacy Trading,Office supplies,5200,45,Limited tender,printer cartridges — Q1 — north wing,
T-00141,2025-01-22,Ministry of Justice,V-106,Fortis Diagnostics,Medical equipment,13000,90,Open tender,ICU monitors — framework lot A,
T-00142,2025-10-09,Ministry of Public Works,V-060,Delta Systems,IT services,32200,60,Limited tender,ERP rollout — phase 2,
T-00143,2024-07-15,Ministry of Public Works,V-174,Meridian Systems,Office supplies,5900,30,Simplified,desk and shelving — framework lot B,
T-00144,2025-08-07,Ministry of Transport,V-108,Unity MedTech,Construction,22800,30,Open tender,office renovation — framework lot A,
T-00145,2024-02-22,Ministry of Health,V-096,Junction Strategy,Consulting,27700,60,Limited tender,risk assessment — Q2 — south wing,
T-00146,2025-02-17,Ministry of Public Works,V-196,Vertex Group,Consulting,14800,30,Limited tender,strategy advisory — Q4 — west wing,
T-00147,2024-10-30,Ministry of Public Works,V-116,Westwind Tech,IT services,56900,30,Limited tender,support contract — phase 2,
T-00148,2024-09-29,Ministry of Transport,V-061,Fortis Medical,Medical equipment,19000,30,Limited tender,MRI maintenance — phase 2,
T-00149,2024-11-24,Ministry of Digital Affairs,V-038,Indigo Stationery,Office supplies,36100,60,Limited tender,ergonomic chairs batch — framework lot A,
T-00150,2024-10-10,Ministry of Education,V-115,Glacier Software,IT services,39000,14,Simplified,ERP rollout — framework lot B,
T-00151,2025-07-07,Ministry of Education,V-187,Keystone Strategy,Consulting,31400,45,Limited tender,risk assessment — Q2 — south wing,
T-00152,2025-04-20,Ministry of Health,V-013,Juno Stationery,Office supplies,12400,30,Open tender,paper and toner order — framework lot A,
T-00153,2024-04-13,Ministry of Digital Affairs,V-153,Westwind Partners,Consulting,13200,30,Open tender,process review — phase 1,
T-00154,2024-01-31,Ministry of Education,V-110,Zenith Stationery,Office supplies,7300,30,Simplified,paper and toner order — framework lot B,
T-00155,2024-11-13,Ministry of Justice,V-093,Delta Advisory,Consulting,14000,30,Limited tender,transformation programme — Q1 — north wing,
T-00156,2025-11-18,Ministry of Transport,V-100,Glacier Group,Consulting,13200,30,Limited tender,risk assessment — Q1 — north wing,
T-00157,2024-02-02,Ministry of Digital Affairs,V-092,Ember Advisory,Consulting,28200,45,Limited tender,strategy advisory — phase 2,
T-00158,2025-06-12,Ministry of Education,V-035,Kelvin Software,IT services,67400,60,Open tender,network upgrade — framework lot A,
T-00159,2024-12-26,Ministry of Public Works,V-162,Trident Diagnostics,Medical equipment,8000,45,Simplified,MRI maintenance — phase 1,
T-00160,2025-03-24,Ministry of Transport,V-052,Acme Partners,Consulting,21400,14,Limited tender,transformation programme — annual contract,
T-00161,2024-02-12,Ministry of Transport,V-140,Lumen Contracting,Construction,92600,30,Open tender,structural repairs — Q1 — north wing,
T-00162,2024-09-27,Ministry of Public Works,V-168,Legacy Group,Consulting,23600,30,Limited tender,compliance audit — annual contract,
T-00163,2025-04-04,Ministry of Justice,V-087,Bluefin Systems,Office supplies,6300,30,Simplified,stationery resupply — Q2 — south wing,
T-00164,2025-04-06,Ministry of Education,V-187,Keystone Strategy,Consulting,33900,90,Limited tender,transformation programme — phase 1,
T-00165,2025-03-20,Ministry of Public Works,V-083,Delta Consulting,Consulting,16100,30,Limited tender,transformation programme — annual contract,
T-00166,2025-02-18,Ministry of Transport,V-043,Fortis Consulting,Consulting,20600,14,Limited tender,transformation programme — annual contract,
T-00167,2025-08-09,Ministry of Digital Affairs,V-071,BetaTech Distributors,Office supplies,7600,14,Simplified,printer cartridges — phase 2,
T-00168,2025-03-29,Ministry of Education,V-132,Xenon Works,Construction,39100,90,Open tender,facade works — framework lot A,
T-00169,2025-03-31,Ministry of Transport,V-009,Ivory Movers,Transport,5900,30,Simplified,logistics services — Q1 — north wing,
T-00170,2025-08-14,Ministry of Public Works,V-155,Yara Works,Construction,93200,30,Open tender,office renovation — Q3 — east wing,
T-00171,2024-03-19,Ministry of Health,V-136,Granite Freight,Transport,17800,30,Limited tender,fleet maintenance — Q3 — east wing,
T-00172,2025-12-20,Ministry of Transport,V-128,Indigo Office Group,Office supplies,23700,30,Simplified,printer cartridges — Q4 — west wing,
T-00173,2024-01-04,Ministry of Health,V-157,Bluefin Logistics,Transport,10500,30,Simplified,fuel supply — Q2 — south wing,
T-00174,2024-03-31,Ministry of Digital Affairs,V-116,Westwind Tech,IT services,19200,90,Open tender,endpoint refresh — phase 2,
T-00175,2025-09-20,Ministry of Education,V-182,Harbor Movers,Transport,28300,60,Limited tender,fuel supply — phase 2,
T-00176,2025-04-20,Ministry of Education,V-131,Juno Cargo,Transport,22300,45,Simplified,logistics services — Q1 — north wing,
T-00177,2024-11-20,Ministry of Justice,V-093,Delta Advisory,Consulting,11500,60,Limited tender,process review — Q2 — south wing,
T-00178,2025-08-24,Ministry of Justice,V-017,Drift Works,Construction,10800,45,Simplified,roof refurbishment — annual contract,
T-00179,2025-06-24,Ministry of Public Works,V-148,Westwind Distributors,Office supplies,7800,30,Open tender,printer cartridges — framework lot B,
T-00180,2025-06-24,Ministry of Justice,V-089,Cascade Works,Construction,60900,30,Limited tender,site preparation — Q3 — east wing,
T-00181,2024-06-19,Ministry of Justice,V-111,Trident Movers,Transport,47100,60,Open tender,fuel supply — phase 1,
T-00182,2025-01-22,Ministry of Justice,V-043,Fortis Consulting,Consulting,21800,30,Simplified,risk assessment — Q2 — south wing,
T-00183,2024-06-22,Ministry of Digital Affairs,V-065,Quanta Solutions,IT services,19400,30,Simplified,endpoint refresh — framework lot B,
T-00184,2024-08-06,Ministry of Education,V-024,Rivera Strategy,Consulting,107400,60,Open tender,process review — phase 2,
T-00185,2025-02-05,Ministry of Digital Affairs,V-145,Orion Stationery,Office supplies,5400,14,Limited tender,desk and shelving — phase 1,
T-00186,2025-10-10,Ministry of Health,V-167,Summit Stationery,Office supplies,10000,30,Limited tender,printer cartridges — framework lot B,
T-00187,2025-08-13,Ministry of Digital Affairs,V-075,Citadel Contracting,Construction,12800,30,Limited tender,roof refurbishment — phase 1,
T-00188,2025-01-25,Ministry of Public Works,V-117,Xenon Software,IT services,20500,30,Limited tender,network upgrade — Q4 — west wing,
T-00189,2024-06-09,Ministry of Digital Affairs,V-088,Drift Stationery,Office supplies,7400,45,Simplified,stationery resupply — annual contract,
T-00190,2024-12-29,Ministry of Education,V-034,Rivera Consulting,Consulting,58000,30,Open tender,compliance audit — Q2 — south wing,
T-00191,2025-02-09,Ministry of Public Works,V-069,Cascade Medical,Medical equipment,61600,14,Open tender,imaging consumables — annual contract,
T-00192,2024-01-13,Ministry of Digital Affairs,V-064,Ember Cargo,Construction,57500,60,Limited tender,structural repairs — Q4 — west wing,
T-00193,2025-12-02,Ministry of Transport,V-196,Vertex Group,Consulting,14400,30,Simplified,compliance audit — Q1 — north wing,
T-00194,2024-09-10,Ministry of Transport,V-024,Rivera Strategy,Office supplies,5200,30,Open tender,paper and toner order — Q1 — north wing,
T-00195,2025-03-29,Ministry of Public Works,V-073,Acme Tech,IT services,7400,30,Limited tender,endpoint refresh — framework lot B,
T-00196,2025-04-22,Ministry of Digital Affairs,V-003,Indigo Tech,IT services,9400,60,Simplified,endpoint refresh — annual contract,
T-00197,2024-09-10,Ministry of Transport,V-094,Acme Strategy,Consulting,23000,30,Limited tender,transformation programme — phase 1,
T-00198,2025-03-03,Ministry of Justice,V-019,Summit Care,Medical equipment,53000,30,Open tender,imaging consumables — Q2 — south wing,
T-00199,2024-07-14,Ministry of Justice,V-033,Citadel Software,Office supplies,10300,90,Limited tender,stationery resupply — Q3 — east wing,
T-00200,2025-07-29,Ministry of Health,V-051,Bluefin Stationery,Office supplies,11500,14,Limited tender,ergonomic chairs batch — phase 2,
T-00201,2025-11-14,Ministry of Education,V-122,Helios Supplies,Office supplies,8300,60,Simplified,stationery resupply — phase 2,
T-00202,2024-11-12,Ministry of Justice,V-042,Indigo Solutions,IT services,13900,60,Open tender,endpoint refresh — framework lot B,
T-00203,2025-12-20,Ministry of Health,V-131,Juno Cargo,Transport,6800,30,Simplified,vehicle leasing — phase 2,
T-00204,2024-11-28,Ministry of Digital Affairs,V-173,Pioneer Contracting,Construction,133500,30,Open tender,office renovation — framework lot A,
T-00205,2025-04-09,Ministry of Education,V-068,Xenon Strategy,IT services,11800,30,Open tender,support contract — annual contract,
T-00206,2024-10-08,Ministry of Digital Affairs,V-038,Indigo Stationery,Office supplies,9800,30,Simplified,paper and toner order — Q4 — west wing,
T-00207,2024-04-20,Ministry of Education,V-005,Bluefin Medical,Medical equipment,65000,30,Open tender,surgical instruments — framework lot B,
T-00208,2024-01-02,Ministry of Digital Affairs,V-199,BetaTech Care,Medical equipment,14300,60,Limited tender,MRI maintenance — Q3 — east wing,
T-00209,2024-07-19,Ministry of Justice,V-133,Juno Diagnostics,Medical equipment,30000,30,Limited tender,surgical instruments — phase 2,
T-00210,2024-12-23,Ministry of Digital Affairs,V-045,Bluefin Cargo,Transport,25600,30,Limited tender,vehicle leasing — framework lot A,
T-00211,2025-01-22,Ministry of Transport,V-050,Vertex Supplies,Consulting,8800,30,Simplified,risk assessment — Q4 — west wing,
T-00212,2024-08-31,Ministry of Digital Affairs,V-177,Apex Group,Consulting,6300,30,Simplified,risk assessment — phase 1,
T-00213,2024-06-15,Ministry of Public Works,V-032,Unity Logistics,Transport,27300,60,Limited tender,vehicle leasing — Q3 — east wing,
T-00214,2025-09-23,Ministry of Public Works,V-075,Citadel Contracting,Construction,17900,14,Simplified,structural repairs — framework lot A,
T-00215,2025-06-04,Ministry of Digital Affairs,V-055,Meridian Health Systems,Medical equipment,59500,60,Open tender,ICU monitors — Q3 — east wing,
T-00216,2024-03-06,Ministry of Digital Affairs,V-028,Keystone Care,Medical equipment,46600,30,Limited tender,imaging consumables — Q4 — west wing,
T-00217,2024-01-07,Ministry of Public Works,V-164,Apex Diagnostics,Medical equipment,75100,30,Open tender,MRI maintenance — Q3 — east wing,
